index	chromosome	start	end
1	1	0	1e+06
2	1	1e+06	2e+06
3	1	2e+06	3e+06
4	1	3e+06	4e+06
5	1	4e+06	5e+06
6	1	5e+06	6e+06
7	1	6e+06	7e+06
8	1	7e+06	8e+06
9	1	8e+06	9e+06
10	1	9e+06	1e+07
11	1	1e+07	1.1e+07
12	1	1.1e+07	1.2e+07
13	1	1.2e+07	1.3e+07
14	1	1.3e+07	1.4e+07
15	1	1.4e+07	1.5e+07
16	1	1.5e+07	1.6e+07
17	1	1.6e+07	1.7e+07
18	1	1.7e+07	1.8e+07
19	1	1.8e+07	1.9e+07
20	1	1.9e+07	2e+07
21	1	2e+07	2.1e+07
22	1	2.1e+07	2.2e+07
23	1	2.2e+07	2.3e+07
24	1	2.3e+07	2.4e+07
25	1	2.4e+07	2.5e+07
26	1	2.5e+07	2.6e+07
27	1	2.6e+07	2.7e+07
28	1	2.7e+07	2.8e+07
29	1	2.8e+07	2.9e+07
30	1	2.9e+07	3e+07
31	1	3e+07	3.1e+07
32	1	3.1e+07	3.2e+07
33	1	3.2e+07	3.3e+07
34	1	3.3e+07	3.4e+07
35	1	3.4e+07	3.5e+07
36	1	3.5e+07	3.6e+07
37	1	3.6e+07	3.7e+07
38	1	3.7e+07	3.8e+07
39	1	3.8e+07	3.9e+07
40	1	3.9e+07	4e+07
41	1	4e+07	4.1e+07
42	1	4.1e+07	4.2e+07
43	1	4.2e+07	4.3e+07
44	1	4.3e+07	4.4e+07
45	1	4.4e+07	4.5e+07
46	1	4.5e+07	4.6e+07
47	1	4.6e+07	4.7e+07
48	1	4.7e+07	4.8e+07
49	1	4.8e+07	4.9e+07
50	1	4.9e+07	5e+07
51	1	5e+07	5.1e+07
52	1	5.1e+07	5.2e+07
53	1	5.2e+07	5.3e+07
54	1	5.3e+07	5.4e+07
55	1	5.4e+07	5.5e+07
56	1	5.5e+07	5.6e+07
57	1	5.6e+07	5.7e+07
58	1	5.7e+07	5.8e+07
59	1	5.8e+07	5.9e+07
60	1	5.9e+07	6e+07
61	1	6e+07	6.1e+07
