index	chromosome	start	end
1	1	0	4e+05
2	1	4e+05	1400000
3	1	1400000	2400000
4	1	2400000	3400000
5	1	3400000	4400000
6	1	4400000	5400000
7	1	5400000	6400000
8	1	6400000	7400000
9	1	7400000	8400000
10	1	8400000	9400000
11	1	9400000	10400000
12	1	10400000	11400000
13	1	11400000	12400000
14	1	12400000	13400000
15	1	13400000	14400000
16	1	14400000	15400000
17	1	15400000	16400000
18	1	16400000	17400000
19	1	17400000	18400000
20	1	18400000	19400000
21	1	19400000	20400000
22	1	20400000	21400000
23	1	21400000	22400000
24	1	22400000	23400000
25	1	23400000	24400000
26	1	24400000	25400000
27	1	25400000	26400000
28	1	26400000	27400000
29	1	27400000	28400000
30	1	28400000	29400000
31	1	29400000	30400000
32	1	30400000	31400000
33	1	31400000	32400000
34	1	32400000	33400000
35	1	33400000	34400000
36	1	34400000	35400000
37	1	35400000	36400000
38	1	36400000	37400000
39	1	37400000	38400000
40	1	38400000	39400000
41	1	39400000	40400000
42	1	40400000	41400000
43	1	41400000	42400000
44	1	42400000	43400000
45	1	43400000	44400000
46	1	44400000	45400000
47	1	45400000	46400000
48	1	46400000	47400000
49	1	47400000	48400000
50	1	48400000	49400000
51	1	49400000	50400000
52	1	50400000	51400000
53	1	51400000	52400000
54	1	52400000	53400000
55	1	53400000	54400000
56	1	54400000	55400000
57	1	55400000	56400000
58	1	56400000	57400000
59	1	57400000	58400000
60	1	58400000	59400000
61	1	59400000	60400000
62	1	60400000	61400000
63	1	61400000	62400000
64	1	62400000	63400000
65	1	63400000	64400000
66	1	64400000	65400000
67	1	65400000	66400000
68	1	66400000	67400000
69	1	67400000	68400000
70	1	68400000	69400000
71	1	69400000	70400000
72	1	70400000	71400000
73	1	71400000	72400000
74	1	72400000	73400000
75	1	73400000	74400000
76	1	74400000	75400000
77	1	75400000	76400000
78	1	76400000	77400000
79	1	77400000	78400000
80	1	78400000	79400000
81	1	79400000	80400000
82	1	80400000	81400000
83	1	81400000	82400000
84	1	82400000	83400000
85	1	83400000	84400000
86	1	84400000	85400000
87	1	85400000	86400000
88	1	86400000	87400000
89	1	87400000	88400000
90	1	88400000	89400000
91	1	89400000	90400000
92	1	90400000	91400000
93	1	91400000	92400000
94	1	92400000	93400000
95	1	93400000	94400000
96	1	94400000	95400000
97	1	95400000	96400000
98	1	96400000	97400000
99	1	97400000	98400000
100	1	98400000	99400000
101	1	99400000	100400000
102	1	100400000	101400000
103	1	101400000	102400000
104	1	102400000	103400000
105	1	103400000	104400000
106	1	104400000	105400000
107	1	105400000	106400000
108	1	106400000	107400000
109	1	107400000	108400000
110	1	108400000	109400000
111	1	109400000	110400000
112	1	110400000	111400000
113	1	111400000	112400000
114	1	112400000	113400000
115	1	113400000	114400000
116	1	114400000	115400000
117	1	115400000	116400000
118	1	116400000	117400000
119	1	117400000	118400000
120	1	118400000	119400000
121	1	119400000	120400000
122	1	120400000	121400000
123	1	121400000	122400000
124	1	122400000	123400000
125	1	123400000	124400000
126	1	124400000	125400000
127	1	125400000	126400000
128	1	126400000	127400000
129	1	127400000	128400000
130	1	128400000	129400000
131	1	129400000	130400000
132	1	130400000	131400000
133	1	131400000	132400000
134	1	132400000	133400000
135	1	133400000	134400000
136	1	134400000	135400000
137	1	135400000	136400000
